example_id                                                  | status | run_time        |
./spec/services/travel_advisor_service_spec.rb[1:2:2:3]     | passed | 0.00169 seconds |
./spec/services/travel_advisor_service_spec.rb[1:2:3:1]     | passed | 0.18777 seconds |
./spec/services/travel_advisor_service_spec.rb[1:2:3:2]     | passed | 1.47 seconds    |
./spec/services/travel_advisor_service_spec.rb[1:2:3:3]     | passed | 0.00282 seconds |
./spec/services/travel_advisor_service_spec.rb[1:3:1]       | passed | 0.00136 seconds |
./spec/services/travel_advisor_service_spec.rb[1:3:2]       | passed | 0.00196 seconds |
./spec/services/travel_advisor_service_spec.rb[1:3:3]       | passed | 0.00143 seconds |
./spec/views/password_resets/edit.html.erb_spec.rb[1:1]     | passed | 0.00367 seconds |
./spec/views/password_resets/edit.html.erb_spec.rb[1:2]     | passed | 0.02423 seconds |
./spec/views/password_resets/edit.html.erb_spec.rb[1:3]     | passed | 0.0036 seconds  |
./spec/views/password_resets/edit.html.erb_spec.rb[1:4]     | passed | 0.00731 seconds |
./spec/views/password_resets/new.html.erb_spec.rb[1:1]      | passed | 0.00353 seconds |
./spec/views/password_resets/new.html.erb_spec.rb[1:2]      | passed | 0.00346 seconds |
./spec/views/password_resets/new.html.erb_spec.rb[1:3]      | passed | 0.00534 seconds |
./spec/views/password_resets/new.html.erb_spec.rb[1:4]      | passed | 0.00326 seconds |
./spec/views/password_resets/new.html.erb_spec.rb[1:5]      | passed | 0.0028 seconds  |
